"person","birthYear","interest"
http://dbpedia.org/resource/Avital_Ronell,1952,http://dbpedia.org/resource/War
http://dbpedia.org/resource/Avital_Ronell,1952,http://dbpedia.org/resource/Drug
http://dbpedia.org/resource/Avital_Ronell,1952,http://dbpedia.org/resource/Ethics
http://dbpedia.org/resource/Avital_Ronell,1952,http://dbpedia.org/resource/Force_(law)
http://dbpedia.org/resource/Avital_Ronell,1952,http://dbpedia.org/resource/Dictation_(exercise)
http://dbpedia.org/resource/Avital_Ronell,1952,http://dbpedia.org/resource/Disease
http://dbpedia.org/resource/Avital_Ronell,1952,http://dbpedia.org/resource/Test_(assessment)
http://dbpedia.org/resource/Avital_Ronell,1952,http://dbpedia.org/resource/Law
http://dbpedia.org/resource/Avital_Ronell,1952,http://dbpedia.org/resource/Psychological_trauma
http://dbpedia.org/resource/Avital_Ronell,1952,http://dbpedia.org/resource/Authority
http://dbpedia.org/resource/Avital_Ronell,1952,http://dbpedia.org/resource/Rumor
http://dbpedia.org/resource/Bryan_Magee,1930,http://dbpedia.org/resource/History_of_philosophy
http://dbpedia.org/resource/Bryan_Magee,1930,http://dbpedia.org/resource/Epistemology
http://dbpedia.org/resource/Bryan_Magee,1930,http://dbpedia.org/resource/Metaphysics
http://dbpedia.org/resource/Timothy_Shanahan_(philosopher),1960,http://dbpedia.org/resource/Philosophy_of_film
http://dbpedia.org/resource/Timothy_Shanahan_(philosopher),1960,http://dbpedia.org/resource/Philosophy_of_science
http://dbpedia.org/resource/Walter_Kaufmann_(philosopher),1921,http://dbpedia.org/resource/Tragedy
http://dbpedia.org/resource/Walter_Kaufmann_(philosopher),1921,http://dbpedia.org/resource/Existentialism
http://dbpedia.org/resource/Walter_Kaufmann_(philosopher),1921,http://dbpedia.org/resource/Philosophy_of_religion
http://dbpedia.org/resource/Wilhelm_Dilthey,1833,http://dbpedia.org/resource/Intellectual_history
http://dbpedia.org/resource/Wilhelm_Dilthey,1833,http://dbpedia.org/resource/Geistesgeschichte
http://dbpedia.org/resource/Wilhelm_Dilthey,1833,http://dbpedia.org/resource/Literary_criticism
http://dbpedia.org/resource/Wilhelm_Dilthey,1833,http://dbpedia.org/resource/Hermeneutic_circle
http://dbpedia.org/resource/Wilhelm_Dilthey,1833,http://dbpedia.org/resource/Verstehen
http://dbpedia.org/resource/Wilhelm_Dilthey,1833,http://dbpedia.org/resource/Facticity
http://dbpedia.org/resource/Wilhelm_Dilthey,1833,http://dbpedia.org/resource/Literary_theory
http://dbpedia.org/resource/Wilhelm_Dilthey,1833,http://dbpedia.org/resource/Human_sciences
http://dbpedia.org/resource/Joachim_Ritter,1903,http://dbpedia.org/resource/Philosophy_of_history
http://dbpedia.org/resource/Joachim_Ritter,1903,http://dbpedia.org/resource/Political_philosophy
http://dbpedia.org/resource/Laurence_Houlgate,1938,http://dbpedia.org/resource/Political_philosophy
http://dbpedia.org/resource/A._J._Ayer,1910,http://dbpedia.org/resource/Meaning_(philosophy_of_language)
http://dbpedia.org/resource/A._J._Ayer,1910,http://dbpedia.org/resource/Epistemology
http://dbpedia.org/resource/A._J._Ayer,1910,http://dbpedia.org/resource/Ethics
http://dbpedia.org/resource/A._J._Ayer,1910,http://dbpedia.org/resource/Philosophy_of_language
http://dbpedia.org/resource/A._J._Ayer,1910,http://dbpedia.org/resource/Philosophy_of_science
http://dbpedia.org/resource/Alasdair_MacIntyre,1929,http://dbpedia.org/resource/History_of_ethics
http://dbpedia.org/resource/Alasdair_MacIntyre,1929,http://dbpedia.org/resource/Political_philosophy
http://dbpedia.org/resource/Alasdair_MacIntyre,1929,http://dbpedia.org/resource/Metaethics
http://dbpedia.org/resource/Albert_Caraco,1919,http://dbpedia.org/resource/Literature
http://dbpedia.org/resource/Albert_Caraco,1919,http://dbpedia.org/resource/Religion
http://dbpedia.org/resource/Albert_Caraco,1919,http://dbpedia.org/resource/Ethics
http://dbpedia.org/resource/Albert_Caraco,1919,http://dbpedia.org/resource/Nihilism
http://dbpedia.org/resource/Albert_Caraco,1919,http://dbpedia.org/resource/Aesthetics
http://dbpedia.org/resource/Albert_Caraco,1919,http://dbpedia.org/resource/Art
http://dbpedia.org/resource/Albert_Caraco,1919,http://dbpedia.org/resource/Politics
http://dbpedia.org/resource/Alex_Battler,1946,http://dbpedia.org/resource/International_relations
http://dbpedia.org/resource/Alex_Battler,1946,http://dbpedia.org/resource/Political_science
http://dbpedia.org/resource/Alex_Battler,1946,http://dbpedia.org/resource/Sociology
http://dbpedia.org/resource/Alexander_Herzen,1812,http://dbpedia.org/resource/Class_struggle
http://dbpedia.org/resource/Alexander_Herzen,1812,http://dbpedia.org/resource/Economics
http://dbpedia.org/resource/Alexander_Herzen,1812,http://dbpedia.org/resource/Politics
http://dbpedia.org/resource/Alexandre_Kojève,1902,http://dbpedia.org/resource/History_of_philosophy
http://dbpedia.org/resource/Ernest_Gellner,1925,http://dbpedia.org/resource/Anthropology
http://dbpedia.org/resource/Ernest_Gellner,1925,http://dbpedia.org/resource/Political_philosophy
http://dbpedia.org/resource/Ernest_Gellner,1925,http://dbpedia.org/resource/Nationalism
http://dbpedia.org/resource/Ernest_Gellner,1925,http://dbpedia.org/resource/Philosophy_of_science
